Name,Days Since Last Practiced,Freq,Last Practiced,Tune Type,Tunes,☑️ Practiced
Dennis the Hat Set,3,5,"April 14, 2026",Polka,"The Derrygallen Bridge (https://www.notion.so/The-Derrygallen-Bridge-15604f42e3e08039b236dafacb506a43?pvs=21), John Walsh's Polka (https://www.notion.so/John-Walsh-s-Polka-15404f42e3e0806faf35ee9f0f2e2b06?pvs=21), Monvara Bridge (https://www.notion.so/Monvara-Bridge-15d04f42e3e0807083f1c2f67ae69bbe?pvs=21)",
Timmy Connor Set,8,5,"April 9, 2026",Polka,"The Cascasde (https://www.notion.so/The-Cascasde-16404f42e3e080dc995ef8e30742598e?pvs=21), Bill Mahoney’s (https://www.notion.so/Bill-Mahoney-s-16704f42e3e080f3a811d9c8f3b19bd8?pvs=21), The One I Know (https://www.notion.so/The-One-I-Know-16704f42e3e080c59c92ecda791d6e6e?pvs=21)",
The Banke of the Ilen / The Scartaglin,6,5,"April 11, 2026",Reel,"The Banks of Ilen (https://www.notion.so/The-Banks-of-Ilen-8b72b7cf8f1d405e818817b4f00e6482?pvs=21), The Scartaglin  (https://www.notion.so/The-Scartaglin-0ba8cae210a34568993196d502ccda1f?pvs=21)",
" Virginia Reel / The Lasses of Limerick/ Martin Wynne’s #1 ",21,6,"March 27, 2026",Reel,"Martin Wynne’s #1 (https://www.notion.so/Martin-Wynne-s-1-8cbd6ec8afd74af08f08ae0647b7ac52?pvs=21), Virginia Reel (https://www.notion.so/Virginia-Reel-a70cac6ef3b446bbb552f061102e6d0a?pvs=21), The Lasses of Limerick (https://www.notion.so/The-Lasses-of-Limerick-f6d7f33d585e47b0b12b38a1e8102eac?pvs=21)",
Gerry Harrington Slide Set,55,4,"February 21, 2026",Slide,"The Game Cock (https://www.notion.so/The-Game-Cock-3a29b6b59e164708a848b168e2f53445?pvs=21), Kevin McHugh’s (https://www.notion.so/Kevin-McHugh-s-7ee1ba9da3dd40dea8c1c34477117f41?pvs=21), Kiely Cotter's (https://www.notion.so/Kiely-Cotter-s-17204f42e3e080b1ac41fd8aae0bbb52?pvs=21)",
"Dan the Cobbler / Tripping Up the Stairs / Kesh ",,4,,Jig,"Dan the Cobbler (https://www.notion.so/Dan-the-Cobbler-16404f42e3e080b4b187fb4c1cf17712?pvs=21), Tripping Up the Stairs (https://www.notion.so/Tripping-Up-the-Stairs-11c04f42e3e080ada02bd99c76cd15bd?pvs=21), Kesh Jig (https://www.notion.so/Kesh-Jig-cd1c2cf57b5f45789bfdcc89098bb992?pvs=21)",
Maureen’s Fancy / Ne’er Shall I Wean Her / The Lisnagun,67,6,"February 9, 2026",Jig,"Maureen’s Fancy (https://www.notion.so/Maureen-s-Fancy-384a69b44e5c43a399b7c04dea61fe46?pvs=21), I Ne’er Shall Wean Her (https://www.notion.so/I-Ne-er-Shall-Wean-Her-1bc04f42e3e0804ebdefd062d4f901d0?pvs=21), The Lisnagun (https://www.notion.so/The-Lisnagun-1b504f42e3e080edbae0f1eba3766546?pvs=21)",
Leitrim Quickstep / Reddican’s Mother / Humours of Derrycrossane,8,6,"April 9, 2026",Slip Jig,"The Leitrim Quickstep (https://www.notion.so/The-Leitrim-Quickstep-20904f42e3e0804cac9ed7e34782affb?pvs=21), Reddican's Mother (https://www.notion.so/Reddican-s-Mother-11004f42e3e080329013f4c81a950df8?pvs=21), The Humours of Derrycrossane (https://www.notion.so/The-Humours-of-Derrycrossane-20a04f42e3e08020aab6e7d883fcf2eb?pvs=21)",
Elizabeth Kelly’s Delight / Humours of Whiskey / Hardiman the Fiddler,44,6,"March 4, 2026",Slip Jig,"Elizabeth Kelly’s Delight (https://www.notion.so/Elizabeth-Kelly-s-Delight-10d04f42e3e0809da512e3c0aca12b73?pvs=21), The Humours of Whiskey (https://www.notion.so/The-Humours-of-Whiskey-1ff04f42e3e0802b9fffcb5f47b36b0b?pvs=21), Hardiman the Fiddler (https://www.notion.so/Hardiman-the-Fiddler-2812d865b3124043851ea8beb3114fc8?pvs=21)",
Blarney Pilgrim / Young Tom Ennis / Rose in the Heather,,5,,Jig,"Blarney Pilgrim (https://www.notion.so/Blarney-Pilgrim-19404f42e3e080cb8bbdd8da0bf51a85?pvs=21), Young Tom Ennis (https://www.notion.so/Young-Tom-Ennis-2709121a4c0a47b2962c5611d4f13816?pvs=21), The Rose in the Heather (https://www.notion.so/The-Rose-in-the-Heather-19b04f42e3e080a89896f2d0fadca156?pvs=21)",
Miss McLeod’s / Green Mountain / Rolling in the Rye Grass,22,6,"March 26, 2026",Reel,"Rolling in the Ryegrass (https://www.notion.so/Rolling-in-the-Ryegrass-eb486d681a4a4c44b90de4d4fc87c15c?pvs=21), Miss McLeod's (https://www.notion.so/Miss-McLeod-s-1b704f42e3e08058bdb7c8ee88937831?pvs=21), The Green Mountain (https://www.notion.so/The-Green-Mountain-10904f42e3e08022a9ead2f39eb15442?pvs=21)",
Pipe on the Hob / Mist Covered Mountain / Banish Misfortune,71,6,"February 5, 2026",Jig,"Pipe on the Hob (https://www.notion.so/Pipe-on-the-Hob-f35290ef6ff8479b8234689bd21386ac?pvs=21), Mist Covered Mountain (https://www.notion.so/Mist-Covered-Mountain-c278589ad4ad41cbbbeaed21b760232f?pvs=21), Banish Misfortune (https://www.notion.so/Banish-Misfortune-18604f42e3e0806ab0a2efbbe40bb659?pvs=21)",
The Cup of Tea / My Love is in America / Wise Maid,58,7,"February 18, 2026",Reel,"The Cup of Tea (https://www.notion.so/The-Cup-of-Tea-1cd04f42e3e0808abb0cc3044bc703ec?pvs=21), My Love Is In America (https://www.notion.so/My-Love-Is-In-America-27604f42e3e08068b904df29450559d1?pvs=21), Wise Maid (https://www.notion.so/Wise-Maid-eff0b48f98df46308fddca2be909503f?pvs=21)",
Liverpool Hornpipe / Harvest Home / Off to California,23,5,"March 25, 2026",Hornpipe,"The Liverpool Hornpipe (https://www.notion.so/The-Liverpool-Hornpipe-caaafa58de774919b58076e6ac792646?pvs=21), The Harvest Home (https://www.notion.so/The-Harvest-Home-19104f42e3e08058b5c6ec564642cdbe?pvs=21), Off to California (https://www.notion.so/Off-to-California-b4ba573bf091412d87d55479e2a3b6fd?pvs=21)",
